ID,Name,Address,City,State,Zip,PhoneNumber,Website,Closed,Category,Service,About,WorkHours
15,BACK BAY TOURS,"1 Elliott Ave, Ocean View, DE 19970",Ocean View,DE,19970,(302) 539-0707,https://backbaytours.com/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
16,Strouts Point Wharf Company,"5 Wharf Rd, South Freeport, ME 04078",South Freeport,ME,4078,(207) 865-3899,http://www.stroutspoint.com/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
17,Fenwick Marina,"10195 OH-2, Oak Harbor, OH 43449",Oak Harbor,OH,43449,(419) 898-7009,http://www.fenwickmarina.com/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
18,Land & Sea Marine Services,"1900 S Oak St, La Marque, TX 77568",La Marque,TX,77568,(409) 935-9466,https://www.landandseaservices.com/,Sat-Sun,Boat Repair,"Automotive, Marinas",Message from Land & Sea Marine Services,Mon-Fri 9:00 am - 6:00 pm
19,Wissota Dock,"10363 County Hwy S, Chippewa Falls, WI 54729",Chippewa Falls,WI,54729,(715) 579-1991,https://www.wissotadock.com/,Sun,Marinas Services,Automotive,,Mon-Sat 12:00 am - Midnight
20,Conanicut Marine,"1 E Ferry Wharf, Jamestown, RI 02835",Jamestown,RI,2835,(401) 423-7157,http://www.conanicutmarina.com/,Sat-Sun,Marinas Services,Automotive,"Conanicut Marine, established in 1974, is a full-service provider of marina and boat yards for vessels for all sizes and styles. The company has a staff of trained and certified professionals, including electricians, technicians and skilled craftsmen. It designs and conducts seminars with the American Boat and Yacht Council and the American Boat Builders and Repairers Association. Conanicut Marine specializes in boat painting, restoration and engine replacement services. The company offers a selection of owned and pre-owned power and sailing vessels for sale and rent to residential and commercial customers. Its merchandise facility is spread over an area of more than 7,000 square feet. Conan.",Mon-Fri 9:00 am - 6:00 pm
21,Mdg Performance Inc,"832 Shore Dr, Edgewater, MD 21037",Edgewater,MD,21037,(410) 956-5381,https://www.mdgperformance.com/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
22,South Shore Marina,"5931 Hiline Rd, Lakeway, TX 78734",Lakeway,TX,78734,(512) 637-3150,https://southshoremarinatx.com/,Sat-Sun,Marinas Services,Automotive,"South Shore Marina is located on beautiful Lake Travis, just across the lake from Devil's Cove. We are located 20 miles from downtown Austin and just a block away from the famous Carlos n' Charlie's. Lake Travis is your summer destination and South Shore Marina is the place you want to be. South Shore Marina has 77 slips available (28', 32' & 42') for lease with water; electric and sewage pump out available. We have a gated entrance for security, close parking to the marina, restrooms on site and the Spider be Gone System. This marina offers stunning panoramic views and beautiful Texas Sunsets. South Shore Marina is ... luxury on Lake Travis.",Mon-Fri 9:00 am - 6:00 pm
23,Drum Point Marine,"13860 Solomons Island Rd, Solomons, MD 20688",Solomons,MD,20688,(410) 326-3256,https://www.somdbw.com/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
24,Open Bay Marina & Wave Armor Dealer,"1960 Bayberry Avenue, Ste 1, North Merrick, NY 11566",North Merrick,NY,11566,(516) 771-6736,https://www.openbaymarina.com/,Mon,Marinas Services,Automotive,"A family run operation for over 17 years. Open Bay Marina is a full service marina offering 50 in-water finger slips electric & water. We also have 90 spaces for winter storage and 25 new Wave Armor docks for jet skis easy on easy off. The property features a 24-hour security system & remote entrance gate, fully paved yard and 2 picnic areas. Emergency repairs are offered on 15' to 45' vessels and insurance claims are welcome. Adjacent to the marina is a year-round restaurant (Anchor Down) specializing in surf and turf and offering outdoor dining. We are also a Wave Armor dealer for Long Island with in water displays of docks & ports. Owned and run by Chris Badenhop who has over 35 years exp.","Tue-Fri 9:00 am - 5:00 pm, Sat 10:00 am - 1:00 pm"
25,East River Marine LLC,"5A Old Post Rd, Bridgeport, CT 06443",Bridgeport,CT,6443,(203) 430-9002,https://www.eastrivermarine.net/,Tue-Sun,Marinas Services,Automotive,"East River Marine in Madison operates a well-protected marina on the East River, just north of Route 1, with great access to Long Island Sound. We have about 30 slips, all with electricity and fresh water, and the facility has flushable toilets. Our boat launching ramp is available to customers; boaters can purchase day or seasonal passes. We sell and service Yamaha Marine engines, and sell, repair and store boats.",Mon8:30 am - 5:00 pm
26,Harbor Performance Marina,"99 Eastern Blvd, Baldwin Harbor, NY 11510",Baldwin Harbor,NY,11510,(516) 867-7952,http://www.harborperformance.com/,Sun,Marinas Services,Automotive,,Mon-Sat 8:00 am - 5:00 pm
27,St Lawrence Restoration Co Inc,"411 Franklin St, Ste 2, Clayton, NY 13624",Clayton,NY,13624,(315) 686-5950,http://stlawrencerestoration.com/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
28,Cedar Cove Marina of Tuckerton,"458 South Green Street, Tuckerton, NJ 08087",Tuckerton,NJ,8087,(609) 553-5058,https://www.cedarcovemarinanj.com/,,Marinas Services,Automotive,,Mon-Sun 12:00 am - Midnight
29,Toni G' S Marina,"491 E Bay Ave, Ocean Acres, NJ 08005",Ocean Acres,NJ,8005,(609) 698-8581,https://www.tonigsmarina.com/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
30,Harbor View Marina,"Elliott Ave, Ocean View, DE 19970",Ocean View,DE,19970,(302) 539-0707,,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
31,Performance Boat Works,"2910 Highway 35 S, Rockport, TX 78382",Rockport,TX,78382,(361) 729-1042,https://www.rockportmarineinc.com/,Mon,Marinas Services,"Automotive, Boat Dealers, Boat Repair","Performance Boat Works is a full service marine repair facility. We offer a wide array of boating services. Our technicians are highly skilled, Mercury Certified, Yamaha Five Star and Honda Re-power specialists. State of the art diagnostics and special tools for assessing all outboard motor, boat and trailer issues. We offer Mercury and Honda OEM parts for any service requirement. We also have access to all major outboard brands. When you are ready to upgrade your boat with the latest accessory and we can get you back on the water in style. Our cutting edge dealership is located on the Highway 35 Bypass in Rockport, Texas. Our sales lot is a great place to sell your pre-owned boat. We buy bo.",Tue-Sat 8:00 am - 5:00 pm
32,North Idaho Maritime Llc,"4020 N Huetter Rd, Coeur d'Alene, ID 83814",Coeur dAlene,ID,83814,(208) 449-1850,https://www.northidahomaritime.com/,,Marinas Services,Automotive,Call Today!North Idaho Maritime has been in business since 1918. Our team is extremely well experienced in any services that we provide. We are the regions most trusted with creating beach front improvements that improve life and property values. We offer a wide variety of marine services for all your commercial needs. Call us today for more information.,Mon-Sun 8:00 am - 5:00 pm
33,Dave's Dry Dock,"12702 Nash Hwy, Clarksville, MI 48815",Clarksville,MI,48815,(616) 693-3283,,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
34,Monmouth Sailing Center,"46 West St, Monmouth Beach, NJ 07750",Monmouth Beach,NJ,7750,(732) 222-3492,http://www.monmouthsailingcenter.com/,Sun,Marinas Services,Automotive,SpecialtiesLocal Sailing Center & Marina Serving the Monmouth County AreaWe have summer dockage and winter storage for both sail and power boats. We can accommodate boats up to 26 foot in length. Located on the beautiful Shrewsbury River connecting to Sandy Hook Bay. Stop by or call today and see what we have to offer!,Mon-Sat 9:00 am - 5:00 pm
35,Tower Marine Services LLC,"12734 Sunset Ave, Ocean City, MD 21842",Ocean City,MD,21842,(443) 397-9467,http://www.towermarineservices.com/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 8:00 am - 5:00 pm
36,Pointe at Marina Bay,"43 Bayview Court, Saint Petersburg, FL 33711",Saint Petersburg,FL,33711,(727) 864-1382,,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
37,Lake Forest Estates Marina Pavilion,"Ste. Genevieve, MO 63670, Sainte Genevieve, MO 63670",Sainte Genevieve,MO,63670,(573) 483-9861,https://www.lakeforestestatesmo.com/,Tue-Thu,Marinas Services,Automotive,,"Mon 9:00 am - 11:59 am, Wed 9:00 am - 11:59 am, Fri 9:00 am - 11:59 am Sat"
38,Fisherman's Quay,"475 Katlian St, #A, Sitka, AK 99835",Sitka,AK,99835,(907) 747-8344,http://www.fishermansquay.com/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
39,G & H Marine Boat Docks & Lift,"2121 S Imboden Ct, Decatur, IL 62521",Decatur,IL,62521,(800) 425-8665,http://www.ghmarine.com/,,Marinas Services,Automotive,,"Mon-Wed 7:00 am - 5:00 pm, Thu 8:00 am - 5:00 pm, Fri 7:00 am - 5:00 pm, Sat 8:00 am - 5:00 pm, Sun "
40,Meador Dock & Landscape Co,"6705 Riverfront Ave, Indianapolis, IN 46220",Indianapolis,IN,46220,(317) 254-1215,http://www.meadordock.com/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
41,River City Marine Services,"2344 Hilly Road, Jacksonville, FL 32208",Jacksonville,FL,32208,(904) 607-9520,,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
42,On the Water,"625 Treat St, Fremont, NE 68025",Fremont,NE,68025,(402) 727-0461,https://www.onthewaterdocks.com/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
43,Marine Surplus,"2901 Palm Beach Blvd, Fort Myers, MO 33916",Fort Myers,MO,33916,(239) 332-0909,http://ww25.marinesurplusinc.com/,Sun,Marinas Services,Automotive,,"Mon-Fri 9:00 am - 5:00 pm, Sat 9:00 am - 3:00 pm"
44,C & M Marine Product,"131 Atherton Ave NW, Lake Placid, MO 33852",Lake Placid,MO,33852,(863) 465-0096,https://cmmarine.com/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 4:00 pm
45,Bayfront Shoreline,"1900 Saint Louis Avenue, Duluth, MN 55802",Duluth,MN,55802,(218) 727-6898,http://melhus.org/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
46,Papirova Marina,"950 South Cherry Street, Ste 422, Denver, CO 80246",Denver,CO,80246,(720) 394-4438,https://papirova.com/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
47,Adams Marina,"7130 E Waterway Dr, Madison, IN 47250",Madison,IN,47250,(812) 265-2676,https://adamsboatcompany.webs.com/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 5:00 pm
48,Phil Keeney & Sons Inc.,"332 S Green St, Tuckerton, NJ 08087",Tuckerton,NJ,8087,(609) 296-9525,,,Marinas Services,Automotive,"SpecialtiesHere at Phil Keeney and Sons Inc. / Keeney's Marina. We specialize in wood and fiberglass inboard, outboard and I/O repair. also boat and yacht brokerage.HistoryEstablished in 1962.Here at Phil Keeney's and Sons inc./Keeney's Marina. We are a Family owned and Operated Marina for 5 generations at the same location.",Mon-Sun 8:00 am - 6:00 pm
49,Donnelly Yachts LLC,"75 Helmsman Way, Hilton Head Island, SC 29928",Hilton Head Island,SC,29928,(912) 272-9500,https://donnelly-yachts.com/,Sun,Boat Repair,"Automotive, Boat Dealers, Marinas",,"Mon 8:00 am - 5:00 pm, Tue 8:00 am - 9:00 pm, Wed 8:00 am - 5:00 pm, Thu 8:00 am - 9:00 pm, Fri 8:00"
50,Miller's Marina,"185 Water St, Lyons, NY 14489",Lyons,NY,14489,(315) 946-9363,,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
51,Holiday Harbor Marina,"944 Main St, Huron, OH 44839",Huron,OH,44839,(419) 433-2140,https://www.huronlagoons.com/,,Boat Repair,"Automotive, Boat Dealers, Marinas","Slip rentals, boat dockage, boat storage, boat service, boat repairs and boat sales",Mon-Sun 8:00 am - 5:00 pm
52,H & H,"2623 Shipwright Street, Portsmouth, VA 23703",Portsmouth,VA,23703,(757) 484-0308,https://www.hodgesandhodges.com/,Sat-Sun,Marinas Services,Automotive,"Hodges & Hodges Enterprises is a full-service marine contractor that provides various related products and services. Based in Portsmouth, Va., the firm is a marine construction company. Hodges & Hodges Enterprises handles various types of projects ranging from residential pier construction to commercial work, such as marina construction and maintenance, to local and state government projects. It serves many areas, including Portsmouth, Norfolk, Virginia Beach, Chesapeake, Suffolk, Hampton, Smithfield and Isle of Wight County. Hodges & Hodges Enterprises provides a host of services, such as marine lifts, marine salvage, marine pile driving, bulkheads and marine dredging, among others. The com.",Mon-Fri 9:00 am - 6:00 pm
53,H & Y Marina,"1037 CRESTWOOD DR, MI 49930, Hancock, MI 49930",Hancock,MI,49930,(906) 482-1349,,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
54,Sunset Bay Mariners Club Inc,"195 Sunset View, Sharps Chapel, TN 37866",Sharps Chapel,TN,37866,(865) 278-3806,,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
55,Southern Automotive,"6507 San Casa Dr # A, #A, Englewood, FL 34224",Englewood,FL,34224,(941) 474-8688,http://southernautomotive.com/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 8:00 am - 5:00 pm
56,Smith Boat Yard,"1003 Mere Point Road, Brunswick, ME 04011",Brunswick,ME,4011,(207) 729-5248,,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
57,Arts Dive Service,"421 Hillside Avenue, Daytona Beach, FL 32118",Daytona Beach,FL,32118,(386) 299-1482,,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
58,Navy Yacht Club Pensacola,"Cunningham St, Pensacola, FL 32508",Pensacola,FL,32508,(850) 452-4152,http://www.navypnsyc.org/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
59,Dan's Marine Services,"229 California Dr NE, Fort Walton Beach, FL 32548",Fort Walton Beach,FL,32548,(850) 243-5282,,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
60,Noank Marine Services,"55 Spicer Ave #4, Groton, CT 06340",Groton,CT,6340,(860) 536-0221,https://www.noankmarineservice.com/,Sat-Sun,Marinas Services,Automotive,Specializing in: - Boat Maintenance & Repair - Boat Storage - Marinas - Boat Yards - Boat Transporting - Cranes - Construction & Building Equipment,Mon-Fri 8:00 am - 5:00 pm
61,"Star-tech Marine Electronics, Llc","3295 First Street, Berwick, LA 70342",Berwick,LA,70342,(985) 385-1975,https://startechmarine.com/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
62,Neptune Marina,"545 Davenport Ave, New Rochelle, NY 10805",New Rochelle,NY,10805,(914) 636-9764,http://www.boatslipsinnewrochelleny.com/,,Marinas Services,Automotive,,Mon-Sun 9:00 am - 5:00 pm
63,Coastal Properties Management,"1819 Bay Ridge Avenue, Suite 400, Annapolis, MD 21403",Annapolis,MD,21403,(410) 269-0933,http://www.coastal-properties.com/,Sat-Sun,Marinas Services,Automotive,"Coastal Properties Management is a Professional Marina Management and Consulting Firm with more than 40 years of applied and executive marina and facility management, development, design and operations experience. Coastal employs more than 50 full-time and seasonal employees in Maryland, Virginia and the District of Columbia. Our team's experience in facilities management and development includes more than 60 maritime, multi-use properties, hotels, commercial office, boatyards and marine service. Many of Coastal's management contracts are in excess of 20 years in length. We utilize state-of-the-art technology, innovative management and marketing systems to ensure efficient front and back-off.",Mon-Fri 8:00 am - 5:00 pm
64,Anchor Bay Marina,"2200 Saint Paul Road, Dallas, TX 75098",Dallas,TX,75098,(972) 429-1852,https://anchorbaylavon.com/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 7:00 am - 6:30 pm
65,Horizon Marine Group,"3217 NJ-37, Gilford Park, NJ 08753",Gilford Park,NJ,8753,(732) 929-1700,http://www.horizonboating.com/,,Marinas Services,Automotive,,"Mon-Fri 8:30 am - 4:30 pm, Sat 9:00 am - 4:00 pm, Sun 10:00 am - 3:00 pm"
66,Bayside Marine Service,"1227 Horseneck Rd, Fall River, MA 02790",Fall River,MA,2790,(508) 636-8231,http://baysidemarine-charters.com/,Sun,Marinas Services,Automotive,Marine Service We provide a wide range of services including annual maintenance and boat storage. As a full service Yamaha dealership we specialize in the saleand service of the full line of Yamaha motors. Fishing Service We provide Fishing Charters from Fairhaven all around the Elisabeth Islands including Cutty Hunk and Marthas Vineyard.,"Mon-Fri 9:00 am - 5:00 pm, Sat 9:00 am - 3:00 pm"
67,Dauntless Shipyard,"10 Meigs Lane, Woodcock, CT 06426",Woodcock,CT,6426,(860) 767-8267,https://shmarinas.com/,,Marinas Services,Automotive,,Mon-Sun 8:00 am - 9:00 pm
68,Portsmouth Yacht Club,"16 Elm Ave, Portsmouth, VA 23704",Portsmouth,VA,23704,(757) 483-2420,,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
69,Masons Marina Inc,"1820 Westshore Rd, Salmon Creek, CA 94923",Salmon Creek,CA,94923,(707) 875-3811,http://www.parks.ca.gov/boatingfacilities/details/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
70,J & B Boatlift Systems,"2199 Southeast Cove Road, Port Salerno, FL 34997",Port Salerno,FL,34997,(772) 219-0315,http://jandboat.com/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
71,340 Abeel Marina,"340 Abeel Street, Kingston, NY 12401",Kingston,NY,12401,(845) 532-9550,http://340abeelmarina.com/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
72,Seabo Marine,"69 Lorillard Pl, Ormond Beach, FL 32174",Ormond Beach,FL,32174,(386) 672-6121,http://seabomarine.com/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
73,North Georgia Floating Docks,"Gainesville, GA 30506, Gainesville, GA 30506",Gainesville,GA,30506,(770) 519-1832,,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
74,R J Marine Services,"978 Ocean Dr, Cape May, NJ 08204",Cape May,NJ,8204,(609) 884-0600,http://www.rjmarineservice.com/,Sun,Marinas Services,Automotive,,Mon-Sat 8:00 am - 5:00 pm
75,"Marine Specialties, Inc. SC","4707 SC-24, Homeland Park, SC 29626",Homeland Park,SC,29626,(864) 260-9700,https://marinespecialties.net/,Sun,Marinas Services,Automotive,,"Mon-Fri 8:00 am - 5:00 pm, Sat 9:00 am - 1:00 pm"
76,Riverfront Marina,"281 Princeton Ave, Riviera Beach, NJ 08724",Riviera Beach,NJ,8724,(732) 714-0106,http://www.pier281.com/,Mon,Marinas Services,Automotive,"Riverfront Marina is located on the Metedeconk River in Brick, New Jersey next to Windward Beach ( Latitude and Longitude 40.057662, -74.109124 ). We are a full service, family oriented marina with 93 slips and gate access to the beach. Our Services include; full time mechanics, canvas works, fiberglass repair, wooden boat restoration, soda blast facility, wooden boat charters, haul out facility to 37 tons. We are also New Jersey's exclusive NorthCoast boat dealer as well as an authorized Suzuki, Evinrude & Mercury dealer and repair facility. Riverfront Marina's new restaurant, Moon River is now open all year long, including catering services. Jersey Shore Pirates is also located at Riverfro.",Tue-Sat 9:00 am - 5:00 pm
77,Seaford Marina,"2479 Adler Ct, Seaford, NY 11783",Seaford,NY,11783,(516) 998-8800,https://seafordmarina.com/,,Marinas Services,Automotive,,Mon-Sun 9:00 am - 5:00 pm
78,E. M. Docks,"6574 Singleton Rd, Fort Worth, TX 76179",Fort Worth,TX,76179,(817) 236-1331,http://eaglemountaindocks.com/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
79,Bay View Marina,"512 Park Avenue, Fox Lake, IL 60020",Fox Lake,IL,60020,(815) 526-3342,https://www.hugedomains.com/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
80,Litchfield & Sons,"11101 Stonecrest Ct, Tolar, TX 76476",Tolar,TX,76476,(254) 835-4294,http://www.litchfieldandsons.com/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
81,Adventurer's Club Inc,"1100 8th Ave S # 125G, Ste 125G, Naples, FL 34102",Naples,FL,34102,(239) 263-0891,https://aclubnaples.com/,,Marinas Services,Automotive,SpecialtiesThe Adventurer Club's informed staff are available to help you identify your specific boat storage needs and find you a suitable boat slip for your boat. With convenient parking you can get to your boat 24/7 365 days of the year allowing you to enjoy your primary goals on the water.HistoryEstablished in 1975.The Boat Slips at the Adventurer's Club were built when the condo's at Marina Manor were completed in the 1970's. A number of these Boat Slips are owned by the club and are rented out year round to boat owners who would like to have their boat on the water in Naples.Meet the ManagerDon T.ManagerDon is the Dock Master at the Adventurer's Club.,Mon-Sun 12:00 am - Midnight
82,Southern Towers,"1414 Babbage Ln. Ste C Faith Church Rd, Ste C, Indian Trail, NC 28079",Indian Trail,NC,28079,(704) 219-2221,http://southerntowers.net/,Sat-Sun,Boat Repair,"Automotive, Automotive, Marinas","SpecialtiesWith T-tops, hardtops, and wakeboard arches, you'l",Mon-Fri 9:00 am - 5:00 pm
83,American Marine Services,"920 Belle Street, Alton, IL 62002",Alton,IL,62002,(618) 465-1592,http://amsghq.com/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
84,Outer Beach Marine,"Oak Beach Rd, New York 11702, Babylon, NY 11702",Babylon,NY,11702,(631) 422-0161,http://outerbeachmarine.com/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
85,Pike Marine,"80 Main St, Essex, MA 01929",Essex,MA,1929,(978) 768-7161,http://www.pikemarine.com/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
86,Lake Union Waterworks,"1101 North Northlake Way, Seattle, WA 98105",Seattle,WA,98105,(206) 304-1477,,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
87,Marina Management Corporation,"997 South Palafox Street, 997 S Palafox St, Pensacola, FL 32502",Pensacola,FL,32502,(850) 432-9620,https://www.marinamgmt.com/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 8:00 am - 5:00 pm
88,Central Texas Boat Docks,"601 Turkey Tree Rd, Briarcliff, TX 78669",Briarcliff,TX,78669,(830) 798-9001,http://www.centraltexasboatdocks.com/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
89,Tillicum Marina,"1331 N Northlake Way, Seattle, WA 98103",Seattle,WA,98103,(206) 633-5454,https://tillicummarina.com/,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
90,Apache Yacht Club & Marina,"Railroad Pl, Island Park, NY 11558",Island Park,NY,11558,(516) 431-7533,http://www.apacheyachtclub.com/,,Marinas Services,Automotive,,Mon-Sun 9:00 am - 5:00 pm
91,Laid Back Boat Club,"2816 W 11th St, Panama City, FL 32401",Panama City,FL,32401,(850) 784-3900,,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
92,Miller Marine Fabrication,"145 Hance Point Rd, North East, MD 21901",North East,MD,21901,(410) 287-0303,,Sat-Sun,Marinas Services,Automotive,,Mon-Fri 9:00 am - 6:00 pm
